epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,11,,,,,,0.3840000033378601,0.847744882106781
0,11,,,0.4346666634082794,,608.9381103515625,,
1,23,,,,,,0.3959999978542328,0.720933198928833
1,23,,,0.40533334016799927,,0.7667697668075562,,
2,35,,,,,,0.5040000081062317,0.7082403898239136
2,35,,,0.4560000002384186,,0.7137272357940674,,
3,47,,,,,,0.4959999918937683,0.7179376482963562
3,47,,,0.47066667675971985,,0.7050959467887878,,
4,49,,,,0.515625,,,
4,59,,,,,,0.42800000309944153,0.6953234076499939
4,59,,,0.5066666603088379,,0.6991432309150696,,
5,71,,,,,,0.5120000243186951,0.6965491771697998
5,71,,,0.5026666522026062,,0.6984008550643921,,
6,83,,,,,,0.515999972820282,0.7009852528572083
6,83,,,0.5026666522026062,,0.6968593597412109,,
7,95,,,,,,0.5239999890327454,0.6935740113258362
7,95,,,0.5013333559036255,,0.7006100416183472,,
8,99,,,,0.546875,,,
8,107,,,,,,0.4880000054836273,0.7043144702911377
8,107,,,0.48133334517478943,,0.6966254711151123,,
9,119,,,,,,0.5080000162124634,0.6945472955703735
9,119,,,0.4906666576862335,,0.6997810006141663,,
10,131,,,,,,0.5080000162124634,0.6944926977157593
10,131,,,0.48533332347869873,,0.7006107568740845,,
11,143,,,,,,0.5,0.6932962536811829
11,143,,,0.5133333206176758,,0.7009495496749878,,
12,149,,,,0.453125,,,
12,155,,,,,,0.5080000162124634,0.6923463940620422
12,155,,,0.4933333396911621,,0.6962500810623169,,
13,167,,,,,,0.4959999918937683,0.693806529045105
13,167,,,0.5133333206176758,,0.6943048238754272,,
14,179,,,,,,0.4880000054836273,0.6904895901679993
14,179,,,0.5066666603088379,,0.696942925453186,,
15,191,,,,,,0.5120000243186951,0.6920943260192871
15,191,,,0.4586666524410248,,0.7021251916885376,,
16,199,,,,0.515625,,,
16,203,,,,,,0.4880000054836273,0.7243567705154419
16,203,,,0.4973333477973938,,0.696126401424408,,
17,215,,,,,,0.5120000243186951,0.6967896819114685
17,215,,,0.47999998927116394,,0.7030524611473083,,
18,227,,,,,,0.492000013589859,0.7098902463912964
18,227,,,0.47600001096725464,,0.6926891207695007,,
19,239,,,,,,0.492000013589859,0.70212322473526
19,239,,,0.46266666054725647,,0.7036253213882446,,
20,249,,,,0.546875,,,
20,251,,,,,,0.5,0.6921635270118713
20,251,,,0.48399999737739563,,0.6956586241722107,,
21,263,,,,,,0.5,0.6923123598098755
21,263,,,0.48266667127609253,,0.6994133591651917,,
22,275,,,,,,0.4959999918937683,0.6893798112869263
22,275,,,0.47866666316986084,,0.6977460384368896,,
23,287,,,,,,0.492000013589859,0.6908953189849854
23,287,,,0.4986666738986969,,0.6953697800636292,,
24,299,,,,0.32608696818351746,,,
24,299,,,,,,0.5080000162124634,0.6912700533866882
24,299,,,0.5106666684150696,,0.6923155188560486,,
25,311,,,,,,0.47600001096725464,0.6886104345321655
25,311,,,0.5306666493415833,,0.6845464706420898,,
26,323,,,,,,0.492000013589859,0.6881754398345947
26,323,,,0.5239999890327454,,0.6903678178787231,,
27,335,,,,,,0.515999972820282,0.6982966065406799
27,335,,,0.48133334517478943,,0.6996145248413086,,
28,347,,,,,,0.4959999918937683,0.7078292369842529
28,347,,,0.5133333206176758,,0.6915270090103149,,
29,349,,,,0.53125,,,
29,359,,,,,,0.5199999809265137,0.6927275061607361
29,359,,,0.48266667127609253,,0.7095505595207214,,
30,360,0.5099999904632568,0.6983282566070557,,,,,
